Top Level Genre,Sub Genre,URL,Title,Author
Thriller,Medical Thriller,https://www.skool.com/story-hacker/medical-thriller-genre-guide,Medical Thriller Genre Guide,Dom Ioanna
Thriller,Military Thriller,https://www.skool.com/story-hacker/military-thriller-genre-guides,Military Thriller Genre Guides,Mitch White
Thriller,Nordic Noir,https://www.skool.com/story-hacker/nordic-noir-genre-guide,Nordic Noir Genre Guide,Dom Ioanna
Thriller,Psychological Thriller,https://www.skool.com/story-hacker/psychological-thriller-genre-guides,Psychological Thriller Genre Guides,Mitch White
Thriller,Simulation Thriller,https://www.skool.com/story-hacker/simulation-thriller-genre-guides,Simulation Thriller Genre Guides,Mitch White
Thriller,Spy Thriller,https://www.skool.com/story-hacker/book-challenge-prep-spy-thriller-genre-guide,Book Challenge Prep: Spy Thriller Genre Guide,Mitch White
Thriller,Spy-Thriller Fiction,https://www.skool.com/story-hacker/spy-thriller-fiction-genre-guides,Spy-Thriller Fiction Genre Guides,Mitch White
Thriller,Suspense Thriller,https://www.skool.com/story-hacker/suspense-thriller-genre-guide,Suspense Thriller Genre Guide,Dom Ioanna
Thriller,Techno-Thriller,https://www.skool.com/story-hacker/techno-thriller-genre-guides,Techno-Thriller Genre Guides,Mitch White
Thriller,Thriller,https://www.skool.com/story-hacker/thriller-genre-guides,Thriller Genre Guides,Mitch White
Western,Australian Western,https://www.skool.com/story-hacker/australian-western-genre-guides,Australian Western Genre Guides,Mitch White
Western,Comedy Western,https://www.skool.com/story-hacker/comedy-western-genre-guides,Comedy Western Genre Guides,Mitch White
Western,Epic Western,https://www.skool.com/story-hacker/epic-western-genre-guides,Epic Western Genre Guides,Mitch White
Western,Romance Western,https://www.skool.com/story-hacker/romance-western-genre-guides,Romance Western Genre Guides,Mitch White
Western,Space Western,https://www.skool.com/story-hacker/space-western-genre-guides,Space Western Genre Guides,Mitch White
Western,Western Fiction,https://www.skool.com/story-hacker/western-fiction-genre-guides,Western Fiction Genre Guides,Mitch White
